set	id	turn1	turn2	turn3	turn4	turn5	turn6
train	chain2_1450_1296_1290_427_743_359	Did you know he did that?	No, I had no idea he had an adult diaper fetish!	Wait, what? Diaper fetish!	Yeah, he loves wearing diapers!	So that's why he asked me to buy him a box of pacifiers for his birthday!	Well I am certainly not changing his diaper ever!
train	chain2_272_224_1241_206_1167_439	Can you tell me one more time?	Sure, you have to double-click on the icon.	Which icon do I click on?	You click the small yellow icon on the bottom right of your screen.	Thanks, now I see it.	Is it working now for you?
train	chain2_726_993_497_1217_976_537	What breed is she?	SHE IS A LABRADOR RETIREVER.	Is she obedient?	When she wants something, yes.	What do you feed her?	Oh the usual grain free diet
train	chain2_2093_434_901_681_710_1050	How can I help you?	I'm looking for a good white wine	this is not a wine shop sir	I'm sorry.  I thought you also carried wine.	We do not - you'll need to go to the wine store for that	Thank you have  nice day
train	chain2_2054_1016_404_1006_592_901	Will my wheelchair fold properly?	YES, IT SHOULD.	If it doesn't I am sure we can tow it behind the car.	Do you really think that towing it will be safe?	I'm not sure if it's safe but it's the only way we're getting this thing home	I don't think that's a good idea though.
train	chain2_103_1457_1066_444_670_663	Are you coming over?	Yes, I'm going to head over in five minutes.	Great, see you soon.	Need me to pick up anything from the store?	Yeah grab some beer.	I was just offering to be nice, I don't really want to make a stop on the way to get things for you.
train	chain2_480_1501_730_731_1056_389	How are the kids?	They are acting horrible.	I'm sorry to hear that.	Yeah, they need to be punished.	That sounds a bit harsh. Try checking what they want first.	Sure, because I haven't already fed them, taken them to the park, turned on their favorite movie and offered them crayons, playdoh and silly string.
train	chain2_411_1348_650_328_563_339	Where was the last place you looked for it?	I looked in my room.	If you kept it tidier, maybe you'd find it.	Hahahah you're so funny.	Since it's lost forever in your room of doom lets go get another one.	But I've had this one for ages! It's my favourite.
train	chain2_1197_1271_398_986_341_564	What was that noise?	The landscaper just started the mower.	How long will they be mowing?	A couple of hours, I guess.	Are they going to edge also?	That's not in the agreement but if I ask him nicely I'm sure he will do it.
train	chain2_2062_250_191_1122_1202_233	Are you going home?	Yes, I'm gonna make some dinner	Let's go eat at a restaurant instead. My treat.	Sure  where would  you like  to  go ?	I'd like some Thai food.Then how about some ice cream?	Wow seems like a great idea..
train	chain2_18_300_111_673_266_956	Do you have headphones I could use?	Yes, I have a spare set.	Nevermind I found mine.	WHERE DID YOU FIND THEM?	They were underneath the couch.	Hey, did you happen to feel a flip flop while you were down there? Mine left shoe has been missing for over a week.
train	chain2_1243_710_1310_563_1004_79	Can you open this please?	No, I can't seem to get it, either.	I think we need a new can opener.	I will pick one up.	All right then.	Do you need money to buy a new one?
train	chain2_1494_105_70_398_174_402	How did you do?	I believe I did pretty well.	Shew!  You probably did a lot better than myself.	Oh come on, I'm sure you did great.	Nope, I'm a loser, baby.	Not in my eyes.
train	chain3_137_304_231_50_97_170	Why did she leave early yesterday?	The vet called about her dog.	I hope everything is alright with her pet	she  just  needs  to pick  it  up .	Oh, that's relieving.	Trust me. If anything was wrong with her dog you would have known today.
train	chain2_310_632_1280_372_1071_421	Do you like Dramas?	Sure, as long as they're not too melodramatic.	They are dramas, they are meant to be melodramatic, aren't they?	I don't think they have to be melodramatic, do they?	I guess you can be dramatic without going overboard.	Speaking of overboard, have you tried that sailing trip yet?
train	chain2_83_1301_951_967_145_414	Can I have some orange juice, please?	Certainly, let me get you a glass.	Can I have some without pulp, please?	I'm sorry, I only have extra pulp.	Can we run it through the strainer?	Sure! I'll be back in 2 minutes.
train	chain2_1819_1033_409_1021_1200_615	When did the cat get out?	Probably sometime in the afternoon.	Did you find her yet?	No, of course I haven't. That's why I'm putting up Cat Missing signs!	Well, where did you look already?	Around the block.
train	chain2_1534_827_1318_609_1197_637	Do you have any specials?	Yes, they're listed on the wall.	I was thinking more extraordinary specials.	Would you like me to see what the chef could whip up?	Maybe a Mediterranean seafood pasta?	Are mussels, shrimp and calamari all right?
train	chain3_106_248_125_246_69_120	WHat should we drink today?	It's really hot outside.  Let's get some lemonade.	Where do you want to get it from?	Let's get it from the house a street over, they have a stand out right now.	Alright, I'll grab some change.	I like to patronize local businesses.
train	chain3_301_233_91_175_317_233	what time is the dinner?	Dinner is at 6.	What are we having ?	The menu is Italian today.	What kind of sauce did you get?	The kind with mushrooms and eggplant.
train	chain3_103_243_111_215_20_34	Why don't we go out for a coffee?	Sure.  Let me go get my purse.	Where do you want to go for coffee?	well find something on the way.	How about Big Foot Java? The people there are really nice.	I don't really go to a coffee place for the people.
train	chain2_89_661_1364_834_408_394	Can you check it?	yes, there is a coat check up front	Is the coat check free?	No, of course it's not. What kind of club do you think we are at?	One where the coat check isn't free, evidently.	This is a business I'm running, not a charity.
train	chain2_1523_297_1023_116_795_371	Which is the closest date I can get for my next appointment?	I'm sorry the soonest I can get you in would be 2 weeks from now. June 8th.	Oh that's fine, I can wait 2 more weeks.	So I'll put you down for June 8th.	If that is the best appointment you can get me.	Yes, that is the next available appointment. I have confirmed your appointment for June 8th at 1:50pm.
train	chain2_1945_1124_975_1120_77_455	Are you going to the school reunion?	No, I'm busy that weekend.	It's only every ten years!	Yes it is and I have the right to choose whether to go or not.	Well then I will go and have fun without you!	I hope you enjoy yourself!
train	chain3_343_322_259_111_210_24	Excuse me, do you remember me?	I am so sorry i do not remember you.	We Met at Jans party.	There  were so  many people there  though.	I was the guy who put the lamp shade on his head.	Oh, yes. The one everyone disliked.
train	chain2_1778_1017_521_1240_756_771	Did they get a divorce?	I don't think so, I think they are just taking a break.	I guess that's better than getting divorced. They should try and work it out.	I agree. They should try to work it out.	Well I hope they do work it out.	Me too. It would be too bad if they have to get a divorce.
train	chain2_1384_366_725_708_329_644	Do you like going to art openings?	Yes, I really enjoy seeing the new paintings.	Did you know there's a new gallery downtown that's opening next week?	No, what's it called?	It's called michael anchalo's gallery	Do you know their opening hours?
train	chain2_1551_78_1334_707_556_1017	What is your favorite restaurant?	My favorite restaurant is Good Food restaurant.	Is that the place on 1st street next to Doug's Dogs?	Yep. That's the one.	Do you want to come with me this afternoon?	Yes. Is noon a good time for you?
train	chain3_142_313_251_97_177_283	How many more books do you have left to read in the series?	I'm on the last one now.	Damn, you're a fast reader.	Guess that makes you slow.	wow, that was uncalled for.	I'm kidding, I just can't put these books down.
train	chain2_125_1497_137_905_963_470	Where did the time go?	I feel we wasted an entire day	What did we actually do all day?	Sat around and watched Netflix.	Well, Netflix and chill isn't a complete waste of time. Still we should put in at least a couple hours into that paper.	And waste a perfectly good evening?  Let's go for a walk, grab dairy queen and then burn off the calories on the walk back.
train	chain2_136_1285_157_992_780_732	Where is the remote control?	It's on the table.	Can you get it for me please?	Sure, no problem! Here it is.	Thanks, I cant wait to watch the new episode	Have you seen this show from the beginning of the season?
train	chain3_64_183_371_320_203_10	Why are you acting like that?	I don't know what you think is different.	You have been very short today.	Sorry we can't all be six feet tall.	I'll come back when you're in a better mood, short fry.	Bring me ketchup when you do.
train	chain2_988_1402_448_1172_740_760	Want to grab lunch?	YES, I'D LOVE TO.	Where should we go?	How about Chinese?	Sure! The new place down the street?	Yeah, I haven't tried them yet.
train	chain3_102_241_107_203_10_15	Would you like to go out to a movie or stay in and rent?	I would rather save the money and stay indoors.	So it is a Netflix and chill night?	I don't know about that.	Well aren't you the decisive one this evening?	No im not i just know what Netflix and chill really means.
train	chain2_1088_866_1033_209_175_451	When did you guys come?	About 10 o'clock	How did you come? Your car or public transport?	We took the bus to get over here.	I didn't know the bus ran that late on Mondays.	If you didn't think the bus ran that late on Mondays then why did you bother asking if I took public transport?
train	chain2_1571_641_85_475_369_306	What is your name?	My name is Alina.	That's a beautiful name!	I have a boyfriend.	Does it mean are you engaged?	It means it's not something I want to discuss right now.
train	chain2_1521_96_1256_274_55_802	Will you buy bread?	Maybe, I'll see.	I need a yes or no answer please.	What part of I'll see didn't you get?	No need to be so nasty, you swine!	I am sorry, I will try to be nicer.
train	chain2_1916_1446_958_1023_386_456	Do you work tomorrow as well?	No, Tuesdays I have off.	Tomorrow is Tuesday dumbass	I know tomorrow is Tuesday and I don't work on Tuesdays	Then why didn't you just say tomorrow?	Look, don't take this the wrong way, but do you think maybe you should have a chat with your doctor about upping your tranquilizer pill dosage?
train	chain2_355_1404_1051_358_737_398	Why did you move here?	I MOVED BECAUSE OF MY JOB.	What company do you work for?	A SHOOTING RANGE. CAN YOU TELL I HAVE LOSS OF HEARING?	I was wondering why you were shouting. Will you take me shooting sometime?	YES! I CAN TAKE YOU WHENEVER YOU WOULD LIKE. WHEN ARE YOU FREE TO GO?
train	chain2_2099_623_628_233_286_413	When are you free?	Not until next week	Let's get together next week then.	Sounds like a date!	Where would you like to go?	I would love to go to the park.
train	chain2_1632_1049_263_280_1046_968	Can I get change for a dollar?	Yes, do you need quarters, nickles, dimes, or pennies ?	Four quarters please.	Too bad I only have pennies.	In that case, I'll just keep my dollar.	Have a good day, sir.
train	chain2_181_1269_734_748_235_86	Where did she go?	She went to the bathroom.	I hope she knows that the floor is full of urine.	Oh that's really gross.	I try never to use the bathroom here. For some reason it never gets cleaned.	Damn! That really sucks..
train	chain2_126_502_670_413_1210_1087	Will you help me look for my cell phone?	No because it's in your hand	That's not my phone, that's my mothers cell phone.	I'm sorry, I didn't know you had the same one.	Have you tried calling it yet?	No, I'll try it now.
train	chain2_896_447_358_732_1166_525	Do you have a girlfriend?	Yup, I married her.	Was she your first love?	No more like my tenth but she was the one I decided to stick with.	How come? What stood out about her?	Her child support claim.  It's going to be cheaper to just stick with her.
train	chain2_1802_216_1311_570_761_1026	Can I have something to eat please?	No you may not.	How come I cannot have something to eat?	Because I don't have anything prepared.	Don't you have anything to snack on?	Fine- yes. But you have to go get it yourself.
train	chain2_897_365_1375_881_43_1109	I am doing well today, how about you?	I've been better.	What is wrong?	My dog died.	I am sorry about that.	Thanks. It was unexpected.
train	chain2_906_387_1035_263_1199_367	Do you want beer?	Yes, and wine and scotch too	Slow down, we need to pace ourselves.	But this week has been brutal and I want to party!	If you drink that much, you'll be passed out before midnight.	I don't care.. I just want to enjoy..
train	chain2_14_4_1202_10_1110_35	What time is it?	It is 10:30 AM.	Cool, time for bed.	Still working the night shift at the newspaper?	Yeah, it's a hard shift but it pays the bills.	It seems like a good gig.
train	chain2_1992_665_630_240_269_453	Can you fix my collar, please?	Of course, I'll help you with that.	Thanks, I really can't get it myself.	WHY CAN'T YOU REACH IT?	Because I lost my arms in a car accident. Why are you yelling at me?	Oh man I'm sorry about that.
train	chain2_333_738_1237_183_59_746	When did you do that?	Late last night.	You shouldn't have done it.	I know but it was fun.	Not for the sheep.	How do you know that?
train	chain2_709_597_912_728_648_1075	Where are you going?	TO THE STORE.	Pick up some waffles for me.	I never offered to get you anything, did I?	No, but it is the polite thing to do.	okay will bring it.
train	chain2_1242_868_1157_944_481_1	What happened in today's match?	There was a big fight and like half the team got ejected.	Oh sad! Whose fault was it?	I blame the coach.	Did the coach get thrown out too?	I don't think he was. I didn't get to see much because of all of the commotion going on and people moving out of the way.
train	chain2_1434_848_883_604_690_411	Who let the dog out?	Your nephew, of course.	Will you help me catch the dog before he eats the neighbor's trash again?	I'll do my best.	Good - that dog loves to eat trash and my neighbor gets really mad	Maybe if you fed him well, he wouldn't be looking for food in other people's trash...
train	chain2_329_1187_843_234_69_1024	Have you seen the new film?	Yeah, I saw it on opening weekend. It was so-so.	It had really good reviews though, I think I'll see it anyway.	Go ahead if you want to.	I guess I'll see it with Steven.	You told me you weren't seeing Steven anymore!
train	chain2_2055_1200_106_627_676_232	What were you going to say?	I was going to say i love you.	Now isn't really the perfect time because I'm gay.	That's ok. I am gay as well.	are you transgendered?	No, I thought you were.
train	chain2_661_606_410_1026_289_562	What time did you go to bed?	I usually try to get in bed around midnight. Often I don't fall asleep till after 2.	What time do you have to get up?	Luckily I am off tomorrow so I can stay up until the sun comes up!	So what do you do in the wee morning hours?	I have my breakfeast
train	chain3_86_219_44_89_161_264	COULD YOU PLEASE HELP ME WITH THE LAUNDRY?	Not if you're shouting at me.	I'm sorry, but I'm not feeling well.	Okay just calm down. I'll do the laundry.	Thank you for helping!	I hope you feel better.
train	chain2_976_923_1125_769_1133_448	How does my hair look?	IT LOOKS NICE TODAY.	Thanks!  You will never guess who did it for me.	Who did it?	Remember that cheerleader from the basketball team with the red hair? She's working at the salon near my office now.	Wow, she's done a pretty great job!
train	chain3_125_280_190_369_292_180	What are your plans after graduation?	I'm not sure what my plans are.	Have you thought about college?	I've considered a few schools.	What school's have you considered?	Stanford, Berkeley and Penn.
train	chain2_113_464_949_957_252_784	What time is it?	It's 6 o'clock.	What time are you leaving for work?	IN an hour.	What time will you be home?	I'm not sure, I need to stop at the store on the way home from work.
train	chain3_305_244_116_226_36_63	Do you know how to sew?	I've known how to sew since I was little	Can you teach me?	I can sew your lips shut.	Awesome! I've always wanted that.	Jokes aside, I can teach you sometime.
train	chain2_1636_1313_1367_843_617_878	Can you give me a lift please?	Yes, where am I taking you?	Straight to hell and back again.	Sounds fun, can I come?	Only if you bring beverages.	Bloody marys or Capri suns?
train	chain2_1296_1486_1320_617_221_706	Did you start the dishwasher?	Yes, I started the dishwasher.	Thanks, can you help me clean the living room?	Sure I'll help you clean the living room. But after that I would like us to go for a nice walk.	I am not feeling like going for a walk tonight, I am pretty tired.	So how about we go for a walk before we clean the living room?
train	chain2_406_1302_464_1186_596_872	How did my boss take the news?	Not very well	Yeah, he handles everything like that	He said he was gonna fire you, dude.	I better go talk to him. Wish me well!	Good luck, Mike!
train	chain2_2013_458_118_796_200_75	You came early, did you get off work early?	Yeah, we were pretty slow so they sent me home	Is work usually this slow?	No, this is unusual.	Well, I hope you get to work a full day tomorrow.	Not me. I'm salaried, so I'm hoping I get sent home again tomorrow.
train	chain3_332_303_230_48_94_164	Have you heard the new song by Kid Rock?	No, I don't listen to that station.	Kid Rock is an artist you moron!	Don't call me that!	Well then don't say moronic stuff like  suggesting Kid Rock is a radio station!	I meant I don't listen to the type of station he would be on.  I prefer classical.
train	chain2_105_607_998_1170_1036_957	Can I get up?	No, it's too early to get up.	How long until I can get up?	Two more hours.	Two more hours? I'll be so bored!	You have to rest your legs from all the walking yesterday.
train	chain3_359_351_304_200_338_271	Did you watch the game last night?	No I fell asleep early.	You missed a good game. Those last five minutes were intense.	Oh? What happened?	Nothing. I don't want to ruin it for you.	I appreciate that.
train	chain3_220_40_90_173_315_230	CAN WE BUY A PONY?	What do you think?	I think you're the best parent ever!	That is exactly the response I was looking for!	What do I have to say to get TWO ponies?	You have to say, Grandma will pay for them.
train	chain2_881_1221_1385_937_1172_893	May I take your order?	I'd like a Coke and a grilled chicken sandwich with fries.	And I'll take a Dr Pepper and a hamburger	Okay, I'll be right back with your drinks.	Thank you very much! I'd like extra ice in the coke, too.	Would you also like me to drink the coke for you?
train	chain3_317_273_177_343_243_87	What is your favorite sport?	Jumping rope while playing chess, is my favorite sport.	That sounds tough. Are you good at it?	I am good at it, but I can't seem to find anyone to play it with.	Why do I get the feeling you're pulling my leg?	I can't imagine.
train	chain2_1178_1080_727_715_1221_219	Have you met my kids?	Not yet I haven't	I'm sure you will love them!	I can't wait to meet them!	They're looking forward to meeting you, too.	lets meet this Saturday for dinner.
train	chain2_1760_295_913_733_4_69	When will you be back?	I'll be back in about two hours.	While you are out pick up a jar of strawberry jam for me.	Do you have a specific brand in mind or whatever is cheapest?	I am not picky just get me some damn jam!	Okay, okay, I was just wondering. No need to get all mad.
train	chain3_217_32_69_138_261_117	When did you last eat?	I last ate about 3 hours ago.	How are you hungry already?	Because, I'm a bottomless pit.	I don't understand how you remain in such good shape!  Share your secret!	Secret is good genes!
train	chain2_623_1312_607_42_395_164	Where are you going?	to the store	Pick up some milk please.	I'll get a gallon, and I know we're out of eggs too.	Thanks, you're such a doll.	I've asked you to stop calling me that, Barb.
train	chain2_1456_475_1281_378_399_757	Can you pick up some more?	I can pick up as many as you would like.	How big is your truck?	I have a 20 ft. flatbed.	Good, when can you head over there again?	I'll be over there tomorrow.
train	chain2_128_762_705_590_876_845	Why are you taking so long?	Because I want to.	Why do you want to take so long?	Because I can do whatever I want to.	Yes your highness lord of everything.	That's the spirit loyal subject.
train	chain3_363_359_317_221_29_52	Would you like to have pizza?	I would love to eat pizza.	What are your favorite toppings?	I know it's controversial, but I love pineapple on pizza.	I don't want any fruit on my pizza.	I think that's homophobic.
train	chain2_505_845_466_1188_1000_811	Do you like to make art?	I do when I have time.	Your art is good - you should try and set aside time for it.	I should, but I've been really busy with work lately.	Well, I really hope it lets up soon. I like your stuff a lot.	Thanks Grandma, that is sweet of you.  How's Grandpa doing?
train	chain2_206_282_349_692_699_1102	Can you repeat that slower?	Ok, here we go.	Thank you, it's hard for me to hear.	No worries! I have that problem when my allergies bother me.  Where should I start?	At the beginning please?	Alright, I'll talk slower this time.
train	chain2_997_185_1082_522_916_17	What do you think of it here?	It's nice, a little too quiet though.	We can turn up the music, if you'd like.	It isn't really the lack of noise, it's the lack of activity.	If you have a deck of cards we can play a game.	Do you like to play poker?
train	chain2_1349_1421_856_425_44_812	How is everything with you?	Pretty good, you?	Very good, life is great!	Really? Are you sure? If something's wrong, you can totally tell me.	Well, I'm having some problems at work.	what kind of problems?
train	chain2_770_1433_1007_32_663_1033	Can you take me to the bathroom?	YES, I'LL SHOW YOU WHERE IT IS.	That's sexual harassment.	IT'S NOT HARASSMENT WHEN I'M THE BOSS, HAHA!	Um, that's kind of the definition of harassment.	I'm sorry, please forgive me I was only joking around.
train	chain2_1552_483_93_530_1123_742	What is that noise?	That noise is the the firetruck leaving to go to a fire.	Can I come?	No sweetie, only the firefighters can go.	maybe i should become a firefighter	You would make a great firefighter!
train	chain3_229_67_138_269_111_190	Why don't my friends visit any more?	It might have something to do with your personal hygiene, kiddo.	I cant help it if my shower is broken.	Use the shower at the gym then.  And deodarant.	I don't have a gym membership. How about you let me use yours?	I'd be happy to!
train	chain2_878_431_897_662_459_747	Want to grab dinner?	Sure, what time is good for you?	Around nowish would be good.	I didn't realize you were so hungry!	Well it is past lunch time.	Well let's go to the buffet, then you don't have to wait long for your food.
train	chain3_249_130_268_128_244_89	What is your favorite type of fruit?	I love good peaches when you can get them.	What's your next favorite fruit? Good peaches can be hard to find.	well if i cant find peaches i love watermelon.	Neither one of those is in season right now. Do you have a third choice?	Red grapes are always great for a snack.
train	chain3_101_239_104_198_336_268	How was your day?	Bit boring really.	Shall we change that up then and go out on the town tonight?	Sure. What did you have in mind?	Dinner and dancing at the club.	Sounds wonderful, what time?
train	chain3_165_353_307_206_12_19	Do you have any pets?	Yeah, I have a few.	What kind of pets do you have?	I have some goldfish, a cat and a dog.	What kind of dog?	A chocolate lab. Do you have any pets?
train	chain2_804_1463_812_94_1105_504	What time are you going to be home this afternoon?	I thik i will be home around midnight	Why are you out so late on a school night?	I have to go to the bookstore before I stop by Sarah's birthday party.	You need to study more than you need to party though.	Yeah, said no one ever!
train	chain2_33_861_458_1182_350_610	What have you made for lunch today?	I didn't, I need to step out for lunch today.	Awesome!  Can I go with you?	Sure if you want to go to the grocery store down the street that has the salad bar.	Ok, the grocery salad bar sounds like a good lunch.	I think they have a bakery too. We should see if they sell cookies individually.
train	chain2_1259_420_1272_344_723_366	Did you see the game last night?	I did see it, it was amazing!	LeBron looked sluggish though.	I agree. Must not have gotten enough sleep.	They all have to pull their weight. It didn't help that Kevin Love had to leave the game.	Hopefully he's not hurt too badly.
train	chain3_151_329_267_126_240_81	How late did you stay at the party?	Until just after midnight.	What time did you get home?	I got home just before 1am	Did you get lucky?	I sure did!
train	chain3_352_340_285_166_309_216	How come you didn't come to the party?	I got really sick.	I hope you feel better!	Thank you it  is just  alittle  bug though .	Make sure you drink plenty of fluids.	I did and I'm feeling much better.
train	chain2_20_324_795_1053_460_192	How old are you?	I am 99 years old.	I bet you have seen a lot.	Well duh, I'm 99 years old.	I've never met a 99 year old smart aleck before.	Funny, I've never met a 30 year old idiot.
train	chain2_1560_952_720_670_1012_250	Are we almost to our destination?	Not far away	Will I need my passport?	No you won't need your passport until we come back.	Are they going to search our bags?	They might check our bags.
train	chain3_128_285_198_377_305_208	Do you think I should write back?	Yes, I don't think it will hurt to try.	What do you think I should write?	I'm not sure , say whats on your mind!!	I'm just going to text him that I'm not interested and he needs to move on.	Be nice though!
train	chain2_440_692_366_770_824_517	Are there places to eat near?	Yes.  McDonalds and Applebees	Let's go to Applebee's!	I've never eaten there, do they have pizza?	I don't think so, but they have good wings.	I don't like wings, they are messy.
train	chain2_1856_1263_1144_872_843_558	Do you know which search engine I should use for recipes?	I usually use Google.	I don't like Google. Is there a better one?	Have you tried a specialized search engine? I like the one at allrecipes.	I have never used that but I will give it a shot.	If you do use that site search for the Tuna Souvlaki Pasta. Also they have a bunch of Ramadan recipes too!!
train	chain3_239_99_193_372_296_186	What did you get mom?	A new bathrobe.	Did she say she wanted one?  I bought her a gift certificate for the Spa because she was saying last week she wanted to go there.	That's nice too. But I'm quite sure mom will like my gift better.  Because it's from her favourite child.	I'm sure you mean my gift, because I'm her favorite child.	She will like both of our gifts.
train	chain2_493_1086_926_802_79_979	Hi, what's your name?	My name is John.	It's so nice to meet you, John!	Likewise. I'm sorry. I didn't catch your name.	My name is Frank.	How long have you been coming here, Frank?
train	chain2_657_359_849_389_644_945	How old were you when you first started learning English?	From the day I was born.	Then where is your accent from?	It's a French accent.	Did you live in France?	Yes I lived in Bordeaux for 13 years.
train	chain3_104_245_119_233_50_88	Where did you go to college?	I went to college in New York City.	What was your favorite part of living in the city?	Coffee on every corner.	Wow...that's really sad	No way! I had so many coffee dates you wouldn't believe it!
train	chain2_1714_1028_831_174_974_1112	I'm so bored, can we do something else?	YES, WHAT WOULD YOU LIKE TO DO?	Well, we could buy a fifth of vodka and finish it between the two of us!	No thanks; I am not interested in getting blotto tonight.	How about watching the new Disney movie that came out?	Sure! I am up for that.
train	chain2_1449_31_609_64_662_628	Where is the bathroom?	Look out for the sign, it's just up ahead.	Oh, I see it, thanks.	I'll meet you right here as soon as I get out of there.	OK, what are we getting from here?	I was hoping we could grab some lunch.
train	chain2_1159_1394_1076_493_391_728	Do you have this in a larger size?	No, sorry.  That is the largest size	Do you have anything similar in a larger size?	Yes, I have this dress in blue.	Okay, can I try it?	Yes, here you go
train	chain3_252_138_280_155_290_176	What's on sale at the bakery this week?	Sir, this is a hotel, and I've told you several times already today that such a sentence is not a code for any special services at the hotel.  Please stop.	Listen; my friend told me this was a place to get hash brownies so cough up the goods!	Leave or  I will call the police .	But I AM the police!	Good then you're already here!
train	chain2_829_211_372_789_685_638	Are you free tonight?	No, I have a date with my couch.	Mind if I come over?	Only if you bring pizza!	Okay, but what time do you have to get ready for your date?	I'm always ready to sit on my couch!
train	chain2_1394_498_512_1231_83_627	How did Sam get such good grades?	He studied constantly and worked with several tutors.	How much did the tutors cost?	I think like $50 a session.	Not a bad return on investment I'd say!	Yes, I am quite satisfied with his results.
train	chain2_557_569_1070_465_955_999	Which shampoo do you use?	I use this stuff I found at the dollar store. It is only a dollar and has color protection for my hair!	Wow!  I wouldn't think that coming from the Dollar Store!	I was surprised, too.	You are braver than I am. I would be afraid it would fry my hair.	Well, it did make some of my hair fall out, but the color protection is still great.
train	chain2_1625_1347_931_841_602_626	When is your next test?	Sometime in July.	Well, good luck.	Thanks! You're so kind.	Do you think you will pass?	I've been studying up a storm so I hope I pass.
train	chain2_2077_1344_326_577_745_721	Hello, how are you?	I'm good.  How are you?	Awesome,thank you so much	Well...have a nice day.	You, too. Nice to see you.	Nice to see you too. Tell your sister I said hi.
train	chain2_446_299_373_809_444_297	When will the nurse come to see me?	She is on her way and will be here within the next 15 minutes.	Ok thank you.	No problem.  Are you comfortable?	Yeah, I am pretty comfortable.	Do you need a refill on your water?
train	chain2_812_184_1017_88_849_477	How did that happen?	I'M NOT SURE.	What do you mean you're not sure?	I mean that I could give an answer, but I'd have a pretty good chance of being wrong.	You must have been super drunk.	We may have been drunk, and I may have forgotten, but I was able to convince you not to drive that night.
train	chain2_1171_988_173_1051_791_329	Could you repeat that please?	Sure, I said 'hello'	Oh, that's not at all what I thought you said.	What did you think I said?	For a second there, it sounded like Oh No.	Oh - nope, I was just saying hi!
train	chain2_682_1390_1016_83_624_903	Can you hold my hand?	No. I refuse.	You cannot refuse my proposal, I am the king of the 7 kingdoms.	You're so silly when you're drunk. Go to bed.	To bed I shall go.	Just be quiet and get to bed.
train	chain3_351_339_284_164_304_206	Where do you think you are going?	I really want to go to the mall, can I?	I guess you can. Ask first next time.	Okay, I'm sorry.	While you're there can you buy me some socks?	What color would you like?
train	chain2_776_304_51_302_291_988	Do you know if it is raining yet?	I don't know, I haven't looked outside.	Does your phone not have the weather?	I never feel 100% sure unless I can see it for myself.	I know what you mean; weather apps are so often inaccurate!	We both have serious problems if we can't trust that it's raining until we actually feel it touching our bodies. Perhaps we should seek psychiatric assistance for our trust issues.
train	chain2_396_445_800_1089_276_170	Did you take your pills?	No, I forgot to take my pills	Aren't they for forgetfullness?	Very funny. No, of course they don't make pills for that.	What a shame, you really could use some of those!	haha, i believe they should indeed.
train	chain3_34_125_245_83_150_247	When will you come back ?	Right after I drop the kids off at hockey practice, why?	Great, can you please pick up some milk at the store on your way back?	Sure, do I need to pick up anything else while I'm there?	Get me a box of donuts; I need to put on some weight.	No donuts, Dear; We are starting our diet today.
train	chain2_1751_1330_684_486_1189_172	Where is my good coat?	In the closet.	Has it been dry cleaned?	Yes, last week. The cleaner even sewed on the loose button.	Thank you so much honey! I love that coat and have missed not wearing it. I am taking you out for dinner tonight as a thank you.	Thank you Honey! that is so sweet of you!
train	chain3_327_294_213_12_26_46	Is your mom coming to visit tomorrow?	Yes, after lunch.	Do you mind if I stop by? I would love to see her.	Absolutely , she would love to see you also!	How is she doing?	She is doing well, she had surgery last week so she has been resting.
train	chain2_1470_450_433_1102_202_197	Where is the meeting room?	Down the hall to your left.	Has anyone else arrived?	Yes a few people are already in the room.	Good; I hate being the first to arrive.	Don't forget to greet everyone, those are very important clients.
train	chain2_141_1096_46_257_1141_657	What have you bought, today?	Groceries and dog food	Good. We need more dog food.	DID WE NEED GROCERIES TOO?	Yes! It's not just the dog who needs to eat!	Yes, we need to eat too!
train	chain3_355_345_293_180_320_239	How's your wife doing?	She's better now that she's had the procedure done.	I'm so glad to hear that. Give her my best, would you?	Of course, she'll be happy to hear I saw you today.	I know! I have been thinking a lot about you guys lately.	You're very thoughtful.
train	chain2_912_317_1127_782_191_146	What are your summer vacation plans?	I don't have any plans yet.	You should come to the beach with us!	I am not sure. I think I may just get a part time job this summer. Tired of eating ramen noodles.	You could work for a couple of months and then take a week off.	You should learn to love more and judge a little less.
train	chain2_1510_1166_1170_1020_448_908	Why haven't you done anything?	I'm not feeling well.	Why, what's wrong with you?	I have a really bad headache.	Maybe you should step away from your computer and phone for a bit.	You literally pay me to be at my computer and phone all day.  Are you offering me a paid vacation?
train	chain2_1500_1374_557_1276_572_458	Are you getting married?	Not any time soon!	Of course you are!	No, I'm not.	Good, then you can take off with me to Bermuda.	Don't I wish?
train	chain3_136_301_225_37_75_133	Where did you buy your wallet?	I found it in the street.	Did you try to return it?	It did not have anything in it so I don't know where I would return it.	It was probably stolen and tossed after the money and credit cards were removed.	I think I will turn it in to the police.
train	chain2_1219_774_973_1104_213_328	Can you pass me that object?	I will give it to you.	thank you very much	You're quite welcome	Can you pass me the thing next to it too? I can't remember what you call these things!	Sure not a problem, would you also like the others next to it?
train	chain2_515_942_597_1313_987_1030	Are you feeling ok?	I feel fine.	I am asking because you look really pale and tired.	I had trouble sleeping last night but the coffee is starting to kick in.	That reminds me, I need a cup myself.	How could you ever forget your coffee?
