dialogue_id	turn_id	utterance
659	b3	It is a lot of fun.
660	a1	Was your visit a good one?
660	b1	No, my visit went horribly, it rained the entire time.
661	a2	Oh man, that stinks.
661	b2	Yes, it was very disappointing.
662	a3	Did you at least manage to do what you had planned?
662	b3	No! I ended up sitting in my room all day waiting it out, but it never happened. Oh well!
663	a1	I heard that you planted a garden?
663	b1	I did plant an herb garden.
664	a2	Which herbs did you plant?
664	b2	I planted basil, cilantro, sage, and thyme.
665	a3	Oh, how is it growing?
665	b3	Its growing fine.
666	a1	Could you please put a little salt and pepper on my potatoes?
666	b1	I sure can.
667	a2	Awesome! Thanks so much!
667	b2	Tell me when to stop.
668	a3	One can never have too much salt and pepper on one's potatoes.
668	b3	Mmmm, and butter. Salt, pepper and buttery potatoes are the bomb!
669	a1	Has Sarah agreed to Tracy's proposal?
669	b1	Yep. They are tying the knot in July.
670	a2	How beautiful, a summer wedding!
670	b2	I know, let's hope it's not too hot though.
671	a3	Are they getting married here, or going somewhere?
671	b3	They are doing a wedding in the park, which will be lovely, but warm.
672	a1	What have you done lately?
672	b1	Just work and take care of the kids.
673	a2	How old are your kids now?
673	b2	They're eleven and fourteen.
674	a3	What are their names?
674	b3	John and Marry
675	a1	Can I use the computer?
675	b1	Yes, come here and sit down.
676	a2	Ok, thank you.
676	b2	You are welcome.
677	a3	What is your password? I can't get logged in.
677	b3	Wait, let me type that for you.
678	a1	Can we eat something else?
678	b1	Oh, you don't like it? Sure, I'm sorry, let me see what else I have.
679	a2	Cereal would be good. Do you have any?
679	b2	I do have cereal,what kind would you like?
680	a3	Do you have Lucky Charms?
680	b3	No sorry, I don't have Lucky Charms because I'm not 11 years old. You are 35 Mike, you need to start acting like it.
681	a1	Do you think we will be able to go to the play tonight?
681	b1	Yes, if daddy gives us permission.
682	a2	I hope he does.
682	b2	I hope so to if not we can ask mommy
683	a3	Mommy always says yes.
683	b3	Well, one of them will need to bring us, so I hope at least one says yes.
684	a1	Have you read the news today?
684	b1	No I missed today's paper.
685	a2	There was a big article about a new political scandal.
685	b2	what did it say?
686	a3	Why don't you read it for yourself?
686	b3	I'm too lazy today!
687	a1	I'm heading to the fourth floor, want to catch the elevator together?
687	b1	Certainly, but I want to go to the second floor.
688	a2	That's not a problem.
688	b2	Ok, there's the elevator
689	a3	Can you push the button for the 2nd floor please?
689	b3	Yeah, no prob.
690	a1	I didn't see you for ages, how are you?
690	b1	Great thanks, I was just on vacation backpacking through Afghanistan!
691	a2	Wow, did you take any pictures?
691	b2	Yes, I have about 500. Would you like to see them?
692	a3	I can't right now. Can you come over this weekend and show them to me then?
692	b3	Heck yea! I will even throw some food on the bbq and we can make a day of it!
693	a1	What time do we need to arrive by?
693	b1	We need to arrive by 3 pm
694	a2	Then that means we need to leave here by 2pm.
694	b2	Are you driving or am I?
695	a3	You should drive this time.
695	b3	ok I will drive
696	a1	What date is it?
696	b1	Today is the 20th of July.
697	a2	Are you sure it's not the 21st?
697	b2	I just looked at the date on my phone.
698	a3	Oh, ok. My days are starting to run together; can't keep up with what day it actually is.
698	b3	I get like that too sometimes.
699	a1	What did he say?
699	b1	He said you never called him and he was wondering why not.
700	a2	I lost his number.
700	b2	Did you lose it on purpose?
701	a3	No, of course not!
701	b3	I lost it when I was sorting thru the mail.
702	a1	Do you remember that time we saved that bird in the park?
702	b1	I do. It was great.
703	a2	Sometimes I wonder if the bird remembers us.
703	b2	Remember us? I doubt it, but I guess you never know.
704	a3	Maybe we could find an ornithologist and ask him how well birds remember people.
704	b3	Seems like a lot of work though.
705	a1	Did you watch the game last night?
705	b1	no had to work late
706	a2	You really missed a great game.
706	b2	Don't spoil it! I have it on my DVR.
707	a3	So you really don't want to talk about the game?
707	b3	No. Not until I watch it first.
708	a1	Do you like turtles?
708	b1	No, because one bit me once.
709	a2	What did you do to make a turtle bite you?
709	b2	Well I was putting my finger in front of it's mouth to check it wouldn't bite me. But then it did, so now I hate turtles and am still oblivious to my own stupidity.
710	a3	Dude, you'd better stay away from all animals I think.
710	b3	I try but they keep following me home. I don't know what to do!
711	a1	Does anybody know where I left my hat?
711	b1	You left it on the table.
712	a2	Thanks. I've been looking for it all day.
712	b2	Want me to go get it and hand it to you right now?
713	a3	That would be great. Could you also place it on my head for me?
713	b3	I guess so, here you go.
714	a1	Can you help me get ready?
714	b1	Yes, you should wear this
715	a2	I would rather wear something black
715	b2	Fine, then find something yourself.
716	a3	Could you help me decide between these two black items?
716	b3	I like the one on the left more.
717	a1	What are your plans for the evening?
717	b1	I am going to catch up on my shows.
718	a2	Do that tomorrow.
718	b2	No, I have plans.
719	a3	What are you doing tomorrow?
719	b3	I have tickets to the ball game and Sam and I are meeting for early dinner then heading over.
720	a1	How was your weekend?
720	b1	It was great spending time with family.
721	a2	WHere were you?
721	b2	We all piled into the truck and headed down to the lake for a barbecue.
722	a3	Sounds like fun, I should do that with my family next time
722	b3	Yeah, it was a good time.
723	a1	What did she say?
723	b1	Not all that much, honestly. She seemed pretty upset.
724	a2	I bet, it's a pretty bad situation.
724	b2	I hope she can take some time off from work.
725	a3	They told her she can have all of the time she needs.
725	b3	That's good of them, she really needs it.
726	a1	Why he is not here?
726	b1	Because he wasn't feeling well.
727	a2	I am sorry to hear that.
727	b2	He will probably be well soon.
728	a3	What's wrong with him?
728	b3	He has strep throat and a double ear infection.
729	a1	How was your week?
729	b1	Long, I am glad it is Friday.
730	a2	Aren't we all glad it's Friday.
730	b2	Friday is our reward for surviving Monday through Thursday.
731	a3	I hear you. What are you doing tonight?
731	b3	Out to eat, want to join?
732	a1	Can you give me a recipe?
732	b1	Depends on what you want to cook.
733	a2	The special one you have for chicken and dumplings.
733	b2	Oh, I don't know. That's actually my mom's secret recipe.
734	a3	Please? It is my sweet-heart's favorite. I promise not to publish it on the 'net.
734	b3	That's what you said about my honeymoon photos.
735	a1	Do you think I have what it takes to be a model?
735	b1	No, because you're too short.
736	a2	There must a need to model for short people.
736	b2	I don't know. Do short people buy clothes?
737	a3	Yes short people buy clothes, but no one wants to see short people on the runway!
737	b3	That isn't true, celebrities make appearances on the runway all the time and they often much shorter than the average model.
738	a1	When will the game start?
738	b1	It starts in 30 minutes.
739	a2	Who are you rooting for?
739	b2	The home team.
740	a3	That is who I am rooting for also.
740	b3	Come over and watch it with me.
741	a1	Are we done yet?
741	b1	it depends on what you consider to be done
742	a2	Way to be snarky about it, jerk.
742	b2	Well it's a team project, so we both decide when it's done.
743	a3	Well, I think it's done. What do you think still needs to be done?
743	b3	i think we need one finishing touches.
744	a1	Sorry to hear that, can you tell me what happened?
744	b1	Not right now.
745	a2	Why not? I thought we were close.
745	b2	Not as close as you think.
746	a3	I'm sorry you feel that way.
746	b3	How else I'm I supposed to feel, we just met yesterday.
747	a1	Is there any ice cream in the freezer?
747	b1	No, but there are some ice lollies.
748	a2	OK, can you please grab me one?
748	b2	No, you get up and do it your self.
749	a3	Well that's the last time I grab you something from the store, mate.
749	b3	I won't pay the rent this month, bloke.
750	a1	Would you like a drink?
750	b1	Yes, a glass of water please.
751	a2	Would you like ice with your water?
751	b2	No, I can't stand water with ice in it.
752	a3	Why do you dislike ice in your water?
752	b3	It's too cold and it hurts my teeth.
753	a1	Would you like to have lunch with me?
753	b1	I'd be delighted to have lunch with you.
754	a2	Do you have any preferences?
754	b2	There's a new restaurant over in Oakdale that I've been wanting to try out.
755	a3	Fun! What kind of restaurant is it?
755	b3	It's Thai Food.
756	a1	Where are you going?
756	b1	To the zoo and a movie
757	a2	Awesome! Can we come too?
757	b2	Sure, if you hurry. We're leaving in 30 minutes.
758	a3	Cool, thanks. This should be fun!
758	b3	Don't you want to know which movie we are seeing?
759	a1	What breed of dog is that?
759	b1	She is a mix breed, schnauzer and poodle.
760	a2	Mixed breed dogs are the best kind.
760	b2	I just love all dogs.
761	a3	Oh, yeah that's cool.
761	b3	Where did you get her from?
762	a1	I need to use the restroom, can you tell me where it is?
762	b1	Go up those stairs, to the left.
763	a2	Thank you. Have a good day.
763	b2	You as well.
764	a3	Before I go do I need a key or anything?
764	b3	No, it's unlocked.
765	a1	Can we go to the store later tonight?
765	b1	Yes, around what time?
766	a2	Is 11 pm fine for you?
766	b2	Yes, that's perfect.
767	a3	Cool, I'll call you when I leave the house.
767	b3	my phone is broken remember?
768	a1	Can you fix this?
768	b1	yeah no problem I'll be there soon
769	a2	Great, I'll be waiting anxiously.
769	b2	And I will be moving hurriedly.
770	a3	What is your estimated time of arrival?
770	b3	I will be there in 15 minutes, estimatedly.
771	a1	Does it contain Soya?
771	b1	It isn't listed on the ingredients so I would have to say no.
772	a2	Thank you for checking.
772	b2	You're very welcome, I hope I'm right.
773	a3	What do you mean you hope?
773	b3	I heard that food companies sort of disguise ingredients in food?
774	a1	Why don't we go out for a meal later?
774	b1	Alright, where should we go?
775	a2	How about Panera?
775	b2	Sounds like a plan, man.
776	a3	Do you know if they have any new salads?
776	b3	Was there a spicy chicken salad on the menu? Something with a little kick.
777	a1	Have you ever visited Spain?
777	b1	No, but I'd love to see the bull run. How about you?
778	a2	The bull run sounds dangerous and inhumane.
778	b2	I guess, but there's lots more to see and do.
779	a3	We could go throw tomatoes at each other.
779	b3	That sounds gross and messy.
780	a1	Do you like dogs?
780	b1	I despise dogs, but I love peanut butter.
781	a2	Are you more of a cat person?
781	b2	I love cats, and also peanut butter. But not together.
782	a3	Why do you like peanut butter so much?
782	b3	Who doesn't love peanut butter?
783	a1	Where did you buy your house?
783	b1	I got it from an old lady who lived here before.
784	a2	How long have you lived in it?
784	b2	I have lived here for 10 years.
785	a3	I heard your house is haunted.
785	b3	That's not true at all.
786	a1	When will we meet again?
786	b1	Who knows? Next weekend maybe?
787	a2	Maybe? Why, what's going to happen to me? What do you know?
787	b2	Nothing. You're being paranoid.
788	a3	I am not being paranoid.
788	b3	Yes, you are one hundred percent being paranoid!
789	a1	Do you want to go to the pool?
789	b1	Okay, as long as those kids aren't still there. They're really kind of annoying.
790	a2	Oh, I don't want to go if there are annoying kids there, either.
790	b2	Do you know if there is an adults only pool here?
791	a3	No clue, but we should ask.
791	b3	Do you want me to call and ask?
792	a1	How long have you worked here?
792	b1	I started last January.
793	a2	Have you learned a lot?
793	b2	Yeah sure. In five months I've learned how to put condiments on buns. Huge accomplishment.
794	a3	if you hate it so much why have you been here five months?
794	b3	Ever heard of rent?
795	a1	What is his name?
795	b1	His name is Ken.
796	a2	Where did you meet him?
796	b2	We went to college together.
797	a3	And you just happened to run into him?
797	b3	We were standing in the same line at Starbucks.
798	a1	Can you tell me one more time?
798	b1	Sure, you have to double-click on the icon.
799	a2	Which icon do I click on?
799	b2	You click the small yellow icon on the bottom right of your screen.
800	a3	Thanks, now I see it.
800	b3	Is it working now for you?
801	a1	What breed is she?
801	b1	She Is a labrador retirever.
802	a2	Is she obedient?
802	b2	When she wants something, yes.
803	a3	What do you feed her?
803	b3	Oh the usual grain free diet
804	a1	Will my wheelchair fold properly?
804	b1	Yes, It should.
805	a2	If it doesn't I am sure we can tow it behind the car.
805	b2	Do you really think that towing it will be safe?
806	a3	I'm not sure if it's safe but it's the only way we're getting this thing home
806	b3	I don't think that's a good idea though.
807	a1	How are the kids?
807	b1	They are acting horrible.
808	a2	I'm sorry to hear that.
808	b2	Yeah, they need to be punished.
809	a3	That sounds a bit harsh. Try checking what they want first.
809	b3	Sure, because I haven't already fed them, taken them to the park, turned on their favorite movie and offered them crayons, playdoh and silly string.
810	a1	Where was the last place you looked for it?
810	b1	I looked in my room.
811	a2	If you kept it tidier, maybe you'd find it.
811	b2	Hahahah you're so funny.
812	a3	Since it's lost forever in your room of doom lets go get another one.
812	b3	But I've had this one for ages! It's my favourite.
813	a1	What was that noise?
813	b1	The landscaper just started the mower.
814	a2	How long will they be mowing?
814	b2	A couple of hours, I guess.
815	a3	Are they going to edge also?
815	b3	That's not in the agreement but if I ask him nicely I'm sure he will do it.
816	a1	Are you going home?
816	b1	Yes, I'm gonna make some dinner
817	a2	Let's go eat at a restaurant instead. My treat.
817	b2	Sure where would you like to go?
818	a3	I'd like some Thai food.Then how about some ice cream?
818	b3	Wow seems like a great idea.
819	a1	Do you have headphones I could use?
819	b1	Yes, I have a spare set.
820	a2	Nevermind I found mine.
820	b2	Where did you find them?
821	a3	They were underneath the couch.
821	b3	Hey, did you happen to feel a flip flop while you were down there? Mine left shoe has been missing for over a week.
822	a1	Can you open this please?
822	b1	No, I can't seem to get it, either.
823	a2	I think we need a new can opener.
823	b2	I will pick one up.
824	a3	All right then.
824	b3	Do you need money to buy a new one?
825	a1	How did you do?
825	b1	I believe I did pretty well.
826	a2	Shew! You probably did a lot better than myself.
826	b2	Oh come on, I'm sure you did great.
827	a3	Nope, I'm a loser, baby.
827	b3	Not in my eyes.
828	a1	Why did she leave early yesterday?
828	b1	The vet called about her dog.
829	a2	I hope everything is alright with her pet
829	b2	she just needs to pick it up.
830	a3	Oh, that's relieving.
830	b3	Trust me. If anything was wrong with her dog you would have known today.
831	a1	Do you like Dramas?
831	b1	Sure, as long as they're not too melodramatic.
832	a2	They are dramas, they are meant to be melodramatic, aren't they?
832	b2	I don't think they have to be melodramatic, do they?
833	a3	I guess you can be dramatic without going overboard.
833	b3	Speaking of overboard, have you tried that sailing trip yet?
834	a1	Can I have some orange juice, please?
834	b1	Certainly, let me get you a glass.
835	a2	Can I have some without pulp, please?
835	b2	I'm sorry, I only have extra pulp.
836	a3	Can we run it through the strainer?
836	b3	Sure! I'll be back in 2 minutes.
837	a1	When did the cat get out?
837	b1	Probably sometime in the afternoon.
838	a2	Did you find her yet?
838	b2	No, of course I haven't. That's why I'm putting up Cat Missing signs!
839	a3	Well, where did you look already?
839	b3	Around the block.
840	a1	Do you have any specials?
840	b1	Yes, they're listed on the wall.
841	a2	I was thinking more extraordinary specials.
841	b2	Would you like me to see what the chef could whip up?
842	a3	Maybe a Mediterranean seafood pasta?
842	b3	Are mussels, shrimp and calamari all right?
843	a1	WHat should we drink today?
843	b1	It's really hot outside. Let's get some lemonade.
844	a2	Where do you want to get it from?
844	b2	Let's get it from the house a street over, they have a stand out right now.
845	a3	Alright, I'll grab some change.
845	b3	I like to patronize local businesses.
846	a1	what time is the dinner?
846	b1	Dinner is at 6.
847	a2	What are we having?
847	b2	The menu is Italian today.
848	a3	What kind of sauce did you get?
848	b3	The kind with mushrooms and eggplant.
849	a1	Why don't we go out for a coffee?
849	b1	Sure. Let me go get my purse.
850	a2	Where do you want to go for coffee?
850	b2	well find something on the way.
851	a3	How about Big Foot Java? The people there are really nice.
851	b3	I don't really go to a coffee place for the people.
852	a1	Can you check it?
852	b1	yes, there is a coat check up front
853	a2	Is the coat check free?
853	b2	No, of course it's not. What kind of club do you think we are at?
854	a3	One where the coat check isn't free, evidently.
854	b3	This is a business I'm running, not a charity.
855	a1	Which is the closest date I can get for my next appointment?
855	b1	I'm sorry the soonest I can get you in would be 2 weeks from now. June 8th.
856	a2	Oh that's fine, I can wait 2 more weeks.
856	b2	So I'll put you down for June 8th.
857	a3	If that is the best appointment you can get me.
857	b3	Yes, that is the next available appointment. I have confirmed your appointment for June 8th at 1:50pm.
858	a1	Are you going to the school reunion?
858	b1	No, I'm busy that weekend.
859	a2	It's only every ten years!
859	b2	Yes it is and I have the right to choose whether to go or not.
860	a3	Well then I will go and have fun without you!
860	b3	I hope you enjoy yourself!
861	a1	Excuse me, do you remember me?
861	b1	I am so sorry I do not remember you.
862	a2	We Met at Jans party.
862	b2	There were so many people there though.
863	a3	I was the guy who put the lamp shade on his head.
863	b3	Oh, yes. The one everyone disliked.
864	a1	Did they get a divorce?
864	b1	I don't think so, I think they are just taking a break.
865	a2	I guess that's better than getting divorced. They should try and work it out.
865	b2	I agree. They should try to work it out.
866	a3	Well I hope they do work it out.
866	b3	Me too. It would be too bad if they have to get a divorce.
867	a1	Do you like going to art openings?
867	b1	Yes, I really enjoy seeing the new paintings.
868	a2	Did you know there's a new gallery downtown that's opening next week?
868	b2	No, what's it called?
869	a3	It's called michael anchalo's gallery
869	b3	Do you know their opening hours?
870	a1	What is your favorite restaurant?
870	b1	My favorite restaurant is Good Food restaurant.
871	a2	Is that the place on 1st street next to Doug's Dogs?
871	b2	Yep. That's the one.
872	a3	Do you want to come with me this afternoon?
872	b3	Yes. Is noon a good time for you?
873	a1	Where did the time go?
873	b1	I feel we wasted an entire day
874	a2	What did we actually do all day?
874	b2	Sat around and watched Netflix.
875	a3	Well, Netflix and chill isn't a complete waste of time. Still we should put in at least a couple hours into that paper.
875	b3	And waste a perfectly good evening? Let's go for a walk, grab dairy queen and then burn off the calories on the walk back.
876	a1	Where is the remote control?
876	b1	It's on the table.
877	a2	Can you get it for me please?
877	b2	Sure, no problem! Here it is.
878	a3	Thanks, I can't wait to watch the new episode
878	b3	Have you seen this show from the beginning of the season?
879	a1	Why are you acting like that?
879	b1	I don't know what you think is different.
880	a2	You have been very short today.
880	b2	Sorry we can't all be six feet tall.
881	a3	I'll come back when you're in a better mood, short fry.
881	b3	Bring me ketchup when you do.
882	a1	Want to grab lunch?
882	b1	Yes, I'd love to.
883	a2	Where should we go?
883	b2	How about Chinese?
884	a3	Sure! The new place down the street?
884	b3	Yeah, I haven't tried them yet.
885	a1	When did you guys come?
885	b1	About 10 o'clock
886	a2	How did you come? Your car or public transport?
886	b2	We took the bus to get over here.
887	a3	I didn't know the bus ran that late on Mondays.
887	b3	If you didn't think the bus ran that late on Mondays then why did you bother asking if I took public transport?
888	a1	What is your name?
888	b1	My name is Alina.
889	a2	That's a beautiful name!
889	b2	I have a boyfriend.
890	a3	Does it mean are you engaged?
890	b3	It means it's not something I want to discuss right now.
891	a1	Why did you move here?
891	b1	I moved because of my job.
892	a2	What company do you work for?
892	b2	A shooting range. can you tell I have loss of hearing?
893	a3	I was wondering why you were shouting. Will you take me shooting sometime?
893	b3	Yes! I can take you whenever you would like. when are you free to go?
894	a1	When are you free?
894	b1	Not until next week
895	a2	Let's get together next week then.
895	b2	Sounds like a date!
896	a3	Where would you like to go?
896	b3	I would love to go to the park.
897	a1	Can I get change for a dollar?
897	b1	Yes, do you need quarters, nickles, dimes, or pennies?
898	a2	Four quarters please.
898	b2	Too bad I only have pennies.
899	a3	In that case, I'll just keep my dollar.
899	b3	Have a good day, sir.
900	a1	Will you help me look for my cell phone?
900	b1	No because it's in your hand
901	a2	That's not my phone, that's my mothers cell phone.
901	b2	I'm sorry, I didn't know you had the same one.
902	a3	Have you tried calling it yet?
902	b3	No, I'll try it now.
903	a1	Can I have something to eat please?
903	b1	No you may not.
904	a2	How come I cannot have something to eat?
904	b2	Because I don't have anything prepared.
905	a3	Don't you have anything to snack on?
905	b3	Fine, yes. But you have to go get it yourself.
906	a1	I am doing well today, how about you?
906	b1	I've been better.
907	a2	What is wrong?
907	b2	My dog died.
908	a3	I am sorry about that.
908	b3	Thanks. It was unexpected.
909	a1	What time is it?
909	b1	It is 10:30 AM.
910	a2	Cool, time for bed.
910	b2	Still working the night shift at the newspaper?
911	a3	Yeah, it's a hard shift but it pays the bills.
911	b3	It seems like a good gig.
912	a1	Can you fix my collar, please?
912	b1	Of course, I'll help you with that.
913	a2	Thanks, I really can't get it myself.
913	b2	Why can't you reach It?
914	a3	Because I lost my arms in a car accident. Why are you yelling at me?
914	b3	Oh man I'm sorry about that.
915	a1	When did you do that?
915	b1	Late last night.
916	a2	You shouldn't have done it.
916	b2	I know but it was fun.
917	a3	Not for the sheep.
917	b3	How do you know that?
918	a1	Where are you going?
918	b1	To the store.
919	a2	Pick up some waffles for me.
919	b2	I never offered to get you anything, did I?
920	a3	No, but it is the polite thing to do.
920	b3	okay will bring it.
921	a1	What happened in today's match?
921	b1	There was a big fight and like half the team got ejected.
922	a2	Oh sad! Whose fault was it?
922	b2	I blame the coach.
923	a3	Did the coach get thrown out too?
923	b3	I don't think he was. I didn't get to see much because of all of the commotion going on and people moving out of the way.
924	a1	Who let the dog out?
924	b1	Your nephew, of course.
925	a2	Will you help me catch the dog before he eats the neighbor's trash again?
925	b2	I'll do my best.
926	a3	Good, that dog loves to eat trash and my neighbor gets really mad
926	b3	Maybe if you fed him well, he wouldn't be looking for food in other people's trash.
927	a1	Have you seen the new film?
927	b1	Yeah, I saw it on opening weekend. It was so-so.
928	a2	It had really good reviews though, I think I'll see it anyway.
928	b2	Go ahead if you want to.
929	a3	I guess I'll see it with Steven.
929	b3	You told me you weren't seeing Steven anymore!
930	a1	What time did you go to bed?
930	b1	I usually try to get in bed around midnight. Often I don't fall asleep till after 2.
931	a2	What time do you have to get up?
931	b2	Luckily I am off tomorrow so I can stay up until the sun comes up!
932	a3	So what do you do in the wee morning hours?
932	b3	I have my breakfeast
933	a1	Could you please help me with the laundry?
933	b1	Not if you're shouting at me.
934	a2	I'm sorry, but I'm not feeling well.
934	b2	Okay just calm down. I'll do the laundry.
935	a3	Thank you for helping!
935	b3	I hope you feel better.
936	a1	How does my hair look?
936	b1	It looks nice today.
937	a2	Thanks! You will never guess who did it for me.
937	b2	Who did it?
938	a3	Remember that cheerleader from the basketball team with the red hair? She's working at the salon near my office now.
938	b3	Wow, she's done a pretty great job!
939	a1	What are your plans after graduation?
939	b1	I'm not sure what my plans are.
940	a2	Have you thought about college?
940	b2	I've considered a few schools.
941	a3	What school's have you considered?
941	b3	Stanford, Berkeley and Penn.
942	a1	What time is it?
942	b1	It's 6 o'clock.
943	a2	What time are you leaving for work?
943	b2	IN an hour.
944	a3	What time will you be home?
944	b3	I'm not sure, I need to stop at the store on the way home from work.
945	a1	Do you know how to sew?
945	b1	I've known how to sew since I was little
946	a2	Can you teach me?
946	b2	I can sew your lips shut.
947	a3	Awesome! I've always wanted that.
947	b3	Jokes aside, I can teach you sometime.
948	a1	Did you start the dishwasher?
948	b1	Yes, I started the dishwasher.
949	a2	Thanks, can you help me clean the living room?
949	b2	Sure I'll help you clean the living room. But after that I would like us to go for a nice walk.
950	a3	I am not feeling like going for a walk tonight, I am pretty tired.
950	b3	So how about we go for a walk before we clean the living room?
951	a1	How did my boss take the news?
951	b1	Not very well
952	a2	Yeah, he handles everything like that
952	b2	He said he was gonna fire you, dude.
953	a3	I better go talk to him. Wish me well!
953	b3	Good luck, Mike!
954	a1	You came early, did you get off work early?
954	b1	Yeah, we were pretty slow so they sent me home
955	a2	Is work usually this slow?
955	b2	No, this is unusual.
956	a3	Well, I hope you get to work a full day tomorrow.
956	b3	Not me. I'm salaried, so I'm hoping I get sent home again tomorrow.
957	a1	Can I get up?
957	b1	No, it's too early to get up.
958	a2	How long until I can get up?
958	b2	Two more hours.
959	a3	Two more hours? I'll be so bored!
959	b3	You have to rest your legs from all the walking yesterday.
960	a1	Did you watch the game last night?
960	b1	No I fell asleep early.
961	a2	You missed a good game. Those last five minutes were intense.
961	b2	Oh? What happened?
962	a3	Nothing. I don't want to ruin it for you.
962	b3	I appreciate that.
963	a1	Can we buy a pony?
963	b1	What do you think?
964	a2	I think you're the best parent ever!
964	b2	That is exactly the response I was looking for!
965	a3	What do I have to say to get TWO ponies?
965	b3	You have to say, Grandma will pay for them.
966	a1	May I take your order?
966	b1	I'd like a Coke and a grilled chicken sandwich with fries.
967	a2	And I'll take a Dr Pepper and a hamburger
967	b2	Okay, I'll be right back with your drinks.
968	a3	Thank you very much! I'd like extra ice in the coke, too.
968	b3	Would you also like me to drink the coke for you?
969	a1	What is your favorite sport?
969	b1	Jumping rope while playing chess, is my favorite sport.
970	a2	That sounds tough. Are you good at it?
970	b2	I am good at it, but I can't seem to find anyone to play it with.
971	a3	Why do I get the feeling you're pulling my leg?
971	b3	I can't imagine.
972	a1	Have you met my kids?
972	b1	Not yet I haven't
973	a2	I'm sure you will love them!
973	b2	I can't wait to meet them!
974	a3	They're looking forward to meeting you, too.
974	b3	lets meet this Saturday for dinner.
975	a1	When did you last eat?
975	b1	I last ate about 3 hours ago.
976	a2	How are you hungry already?
976	b2	Because, I'm a bottomless pit.
977	a3	I don't understand how you remain in such good shape! Share your secret!
977	b3	Secret is good genes!
978	a1	Where are you going?
978	b1	to the store
979	a2	Pick up some milk please.
979	b2	I'll get a gallon, and I know we're out of eggs too.
980	a3	Thanks, you're such a doll.
980	b3	I've asked you to stop calling me that, Barb.
981	a1	Can you pick up some more?
981	b1	I can pick up as many as you would like.
982	a2	How big is your truck?
982	b2	I have a 20 foot flatbed.
983	a3	Good, when can you head over there again?
983	b3	I'll be over there tomorrow.
984	a1	Why are you taking so long?
984	b1	Because I want to.
985	a2	Why do you want to take so long?
985	b2	Because I can do whatever I want to.
986	a3	Yes your highness lord of everything.
986	b3	That's the spirit loyal subject.
987	a1	Do you like to make art?
987	b1	I do when I have time.
988	a2	Your art is good, you should try and set aside time for it.
988	b2	I should, but I've been really busy with work lately.
989	a3	Well, I really hope it lets up soon. I like your stuff a lot.
989	b3	Thanks Grandma, that is sweet of you. How's Grandpa doing?
990	a1	Can you repeat that slower?
990	b1	Ok, here we go.
991	a2	Thank you, it's hard for me to hear.
991	b2	No worries! I have that problem when my allergies bother me. Where should I start?
992	a3	At the beginning please?
992	b3	Alright, I'll talk slower this time.
993	a1	What do you think of it here?
993	b1	It's nice, a little too quiet though.
994	a2	We can turn up the music, if you'd like.
994	b2	It isn't really the lack of noise, it's the lack of activity.
995	a3	If you have a deck of cards we can play a game.
995	b3	Do you like to play poker?
996	a1	How is everything with you?
996	b1	Pretty good, you?
997	a2	Very good, life is great!
997	b2	Really? Are you sure? If something's wrong, you can totally tell me.
998	a3	Well, I'm having some problems at work.
998	b3	what kind of problems?
999	a1	What is that noise?
999	b1	That noise is the the firetruck leaving to go to a fire.
1000	a2	Can I come?
1000	b2	No sweetie, only the firefighters can go.
1001	a3	maybe I should become a firefighter
1001	b3	You would make a great firefighter!
1002	a1	Why don't my friends visit any more?
1002	b1	It might have something to do with your personal hygiene, kiddo.
1003	a2	I can't help it if my shower is broken.
1003	b2	Use the shower at the gym then. And deodarant.
1004	a3	I don't have a gym membership. How about you let me use yours?
1004	b3	I'd be happy to!
1005	a1	Want to grab dinner?
1005	b1	Sure, what time is good for you?
1006	a2	Around nowish would be good.
1006	b2	I didn't realize you were so hungry!
1007	a3	Well it is past lunch time.
1007	b3	Well let's go to the buffet, then you don't have to wait long for your food.
1008	a1	What is your favorite type of fruit?
1008	b1	I love good peaches when you can get them.
1009	a2	What's your next favorite fruit? Good peaches can be hard to find.
1009	b2	well if I can't find peaches I love watermelon.
1010	a3	Neither one of those is in season right now. Do you have a third choice?
1010	b3	Red grapes are always great for a snack.
1011	a1	How was your day?
1011	b1	Bit boring really.
1012	a2	Shall we change that up then and go out on the town tonight?
1012	b2	Sure. What did you have in mind?
1013	a3	Dinner and dancing at the club.
1013	b3	Sounds wonderful, what time?
1014	a1	Do you have any pets?
1014	b1	Yeah, I have a few.
1015	a2	What kind of pets do you have?
1015	b2	I have some goldfish, a cat and a dog.
1016	a3	What kind of dog?
1016	b3	A chocolate lab. Do you have any pets?
1017	a1	What time are you going to be home this afternoon?
1017	b1	I thik I will be home around midnight
1018	a2	Why are you out so late on a school night?
1018	b2	I have to go to the bookstore before I stop by Sarah's birthday party.
1019	a3	You need to study more than you need to party though.
1019	b3	Yeah, said no one ever!
1020	a1	What have you made for lunch today?
1020	b1	I didn't, I need to step out for lunch today.
1021	a2	Awesome! Can I go with you?
1021	b2	Sure if you want to go to the grocery store down the street that has the salad bar.
1022	a3	Ok, the grocery salad bar sounds like a good lunch.
1022	b3	I think they have a bakery too. We should see if they sell cookies individually.
1023	a1	Did you see the game last night?
1023	b1	I did see it, it was amazing!
1024	a2	LeBron looked sluggish though.
1024	b2	I agree. Must not have gotten enough sleep.
1025	a3	They all have to pull their weight. It didn't help that Kevin Love had to leave the game.
1025	b3	Hopefully he's not hurt too badly.
